MCD;S&P;DJ;Wendy;YUM;Starbuck;Coca;Wheat;Oil;Commodity;sugar;Volatilty;War
0;-0,0020;-0,0059;-0,0163;-0,0027;0,0043;-0,0067;0,0060;-0,0057;0,0021;0,0074;0,0232;1,0000
0;0,0145;0,0212;0,0053;0,0172;0,0203;0,0193;0,0081;0,0057;0,0083;-0,0133;-0,0726;1,0000
1;0,0099;0,0047;0,0282;0,0277;-0,0012;0,0057;0,0135;0,0234;0,0177;-0,0060;-0,0871;1,0000
1;-0,0061;-0,0041;-0,0099;0,0070;-0,0011;-0,0020;0,0278;0,0295;-0,0118;-0,0072;-0,0193;1,0000
1;0,0000;-0,0015;0,0014;-0,0159;-0,0079;-0,0080;0,0055;-0,0197;-0,0168;-0,0107;-0,0119;1,0000
0;0,0130;0,0100;-0,0009;-0,0031;0,0009;-0,0025;-0,0406;-0,0442;0,0093;-0,0016;0,0048;1,0000
1;0,0088;-0,0011;-0,0098;-0,0047;-0,0117;-0,0077;0,0194;0,0117;-0,0123;0,0217;-0,0526;1,0000
0;-0,0073;-0,0077;0,0036;-0,0044;-0,0073;-0,0085;-0,0033;-0,0338;0,0015;-0,0259;0,0735;1,0000
0;-0,0112;-0,0069;-0,0141;-0,0256;-0,0249;-0,0018;-0,0257;0,0196;-0,0006;-0,0124;0,0737;1,0000
0;0,0002;-0,0042;-0,0308;-0,0244;-0,0247;-0,0210;0,0264;0,0128;0,0039;-0,0069;0,0119;1,0000
0;-0,0014;-0,0033;-0,0043;-0,0012;-0,0148;0,0005;0,0021;0,0061;0,0013;0,0081;0,0223;1,0000
1;0,0094;0,0034;0,0034;0,0090;0,0132;-0,0055;-0,0110;-0,0043;-0,0052;0,0066;-0,0244;1,0000
1;0,0119;0,0124;-0,0026;-0,0112;0,0039;-0,0011;-0,0220;-0,0133;0,0081;-0,0116;-0,0893;1,0000
0;-0,0064;-0,0101;-0,0147;0,0073;-0,0128;-0,0113;-0,0340;0,0278;-0,0075;-0,0061;0,0510;1,0000
0;0,0030;0,0014;0,0166;-0,0053;0,0049;-0,0027;-0,0201;-0,0035;0,0127;-0,0084;-0,0192;1,0000
0;-0,0016;-0,0003;0,0095;0,0085;0,0046;0,0039;0,0580;0,0153;-0,0127;0,0027;-0,0122;1,0000
1;-0,0017;-0,0066;0,0004;-0,0029;-0,0125;0,0057;0,0167;-0,0117;-0,0118;0,0077;-0,0133;1,0000
0;0,0045;-0,0009;0,0104;0,0009;0,0024;0,0017;-0,0223;-0,0233;0,0017;-0,0240;-0,0338;1,0000
0;-0,0046;-0,0017;0,0048;0,0079;-0,0043;-0,0083;-0,0036;-0,0156;0,0056;0,0179;0,0521;1,0000
0;0,0005;-0,0017;0,0102;-0,0070;-0,0004;-0,0016;-0,0164;0,0075;0,0062;0,0038;0,0258;1,0000
1;0,0185;0,0165;0,0268;0,0086;0,0238;0,0047;-0,0093;0,0255;0,0202;-0,0087;-0,1634;1,0000
1;-0,0072;-0,0086;0,0069;-0,0072;0,0073;0,0011;0,0245;0,0405;0,0042;0,0313;0,0924;1,0000
0;-0,0070;-0,0080;-0,0059;-0,0391;-0,0917;-0,0056;0,0084;-0,0006;-0,0177;0,0139;0,0419;1,0000
0;-0,0116;-0,0108;-0,0072;0,0047;-0,0009;-0,0045;0,0516;-0,0427;-0,0199;0,0012;0,1267;1,0000
1;-0,0004;-0,0014;0,0036;0,0117;0,0024;0,0023;-0,0137;-0,0529;-0,0048;-0,0157;0,0407;1,0000
1;0,0083;0,0080;0,0027;0,0056;0,0137;0,0074;-0,0258;-0,0146;0,0055;-0,0537;-0,0661;1,0000
1;0,0196;0,0157;0,0078;0,0130;0,0115;0,0020;0,0081;0,0270;-0,0024;0,0000;-0,1179;1,0000
1;-0,0038;-0,0068;-0,0149;0,0015;0,0195;-0,0047;-0,0199;0,0062;-0,0089;0,0181;0,0267;1,0000
0;-0,0158;-0,0102;-0,0160;-0,0078;0,0005;-0,0016;-0,0180;-0,0359;-0,0105;-0,0053;0,0597;1,0000
0;0,0009;0,0020;-0,0044;0,0041;0,0102;-0,0016;-0,0074;-0,0215;0,0024;0,0286;-0,0814;1,0000
1;0,0009;0,0007;0,0098;0,0060;0,0106;0,0014;-0,0276;0,0114;-0,0029;0,0435;0,1269;1,0000
1;-0,0060;-0,0033;0,0158;0,0028;-0,0010;0,0044;-0,0090;0,0075;-0,0075;-0,0166;0,0615;1,0000
0;-0,0001;-0,0023;0,0050;-0,0033;-0,0070;0,0019;-0,0205;-0,0236;-0,0094;0,0361;0,0105;1,0000
1;0,0009;-0,0003;-0,0023;0,0035;-0,0037;0,0016;-0,0233;-0,0210;0,0059;-0,0069;0,0007;1,0000
1;0,0033;0,0030;0,0242;0,0165;0,0078;0,0065;0,0022;0,0004;0,0002;0,0041;-0,0259;1,0000
1;-0,0021;-0,0042;-0,0046;0,0016;0,0045;-0,0016;0,0205;-0,0205;-0,0016;0,0141;-0,0442;1,0000
0;0,0133;0,0114;0,0023;0,0203;0,0132;0,0073;0,0232;0,0044;0,0074;0,0025;-0,0662;1,0000
1;-0,0041;-0,0011;-0,0173;0,0031;-0,0013;0,0018;-0,0184;-0,0132;0,0049;-0,0004;-0,0090;1,0000
1;0,0000;0,0029;0,0111;0,0036;0,0095;-0,0018;0,0082;0,0212;0,0080;-0,0131;0,0506;1,0000
1;0,0010;0,0030;-0,0005;-0,0076;0,0006;-0,0024;-0,0066;0,0224;-0,0022;0,0344;-0,0487;1,0000
1;0,0036;0,0001;0,0009;0,0012;-0,0021;0,0006;0,0044;-0,0119;0,0022;-0,0021;-0,0054;1,0000
1;-0,0025;0,0024;-0,0009;0,0026;0,0087;0,0095;-0,0095;0,0011;0,0022;0,0288;-0,0107;1,0000
0;-0,0058;-0,0059;-0,0256;-0,0121;-0,0081;-0,0030;-0,0137;-0,0012;0,0005;0,0214;0,0162;1,0000
1;0,0037;0,0098;0,0230;0,0086;0,0069;0,0060;-0,0029;0,0036;0,0105;0,0031;-0,0524;1,0000
1;0,0144;0,0126;0,0259;0,0213;0,0277;0,0029;0,0018;0,0628;0,0074;0,0067;-0,0239;1,0000
1;0,0057;0,0043;0,0043;0,0072;0,0070;-0,0002;0,0000;0,0175;0,0077;0,0132;-0,0039;1,0000
1;0,0142;0,0100;0,0024;-0,0007;0,0192;0,0072;-0,0177;0,0192;-0,0054;0,0334;-0,0435;1,0000
1;-0,0016;-0,0012;-0,0033;0,0016;0,0006;0,0011;0,0071;-0,0031;0,0017;-0,0028;-0,0172;1,0000
1;0,0016;0,0060;0,0067;0,0036;0,0033;0,0074;0,0025;0,0054;0,0100;0,0182;-0,0495;1,0000
1;0,0056;0,0041;0,0120;0,0012;-0,0008;0,0164;0,0138;0,0513;0,0047;0,0053;-0,0103;1,0000
1;0,0030;0,0023;-0,0010;0,0003;-0,0071;-0,0022;0,0400;-0,0100;-0,0066;-0,0034;-0,0015;1,0000
1;-0,0165;-0,0163;-0,0281;-0,0071;-0,0141;-0,0045;-0,0023;-0,0133;0,0028;-0,0118;0,0832;1,0000
0;0,0130;0,0098;0,0162;-0,0026;0,0069;-0,0046;-0,0289;0,0226;0,0036;0,0163;-0,1157;1,0000
0;0,0089;0,0120;0,0223;0,0160;0,0117;0,0097;-0,0250;0,0250;0,0059;0,0156;-0,0503;1,0000
1;-0,0110;-0,0119;-0,0148;-0,0094;-0,0172;-0,0046;-0,0137;0,0135;-0,0002;-0,0092;0,1582;1,0000
0;0,0176;0,0117;0,0101;0,0073;0,0110;-0,0022;0,0165;-0,0236;0,0059;-0,0043;-0,1182;1,0000
1;-0,0070;-0,0087;0,0005;0,0034;-0,0012;0,0067;-0,0053;0,0109;-0,0175;0,0127;0,0945;1,0000
1;0,0165;0,0106;0,0122;0,0145;0,0038;0,0037;0,0237;-0,0522;-0,0089;-0,0087;-0,1130;1,0000
1;-0,0015;-0,0028;-0,0216;0,0025;-0,0030;0,0101;0,0212;-0,0464;-0,0011;-0,0058;0,0679;1,0000
1;-0,0145;-0,0107;-0,0095;-0,0117;-0,0092;-0,0042;0,0082;-0,0245;0,0054;-0,0170;-0,0778;1,0000
1;-0,0185;-0,0166;-0,0195;-0,0058;-0,0215;-0,0097;0,0203;0,0127;-0,0078;0,0005;0,3331;1,0000
0;0,0014;-0,0018;0,0005;-0,0011;-0,0081;0,0005;-0,0311;-0,0123;-0,0044;0,0129;-0,0165;1,0000
0;-0,0153;-0,0172;-0,0120;-0,0184;-0,0157;-0,0058;-0,0150;-0,0119;-0,0167;-0,0067;0,0572;1,0000
0;0,0007;0,0012;-0,0082;-0,0029;0,0042;0,0155;0,0033;-0,0358;0,0013;0,0072;-0,0773;1,0000
1;0,0161;0,0117;-0,0223;0,0077;0,0150;-0,0047;-0,0190;0,0098;0,0090;-0,0024;0,0502;1,0000
1;0,0076;0,0105;0,0104;0,0197;0,0156;0,0146;-0,0078;0,0194;-0,0089;0,0300;-0,0515;1,0000
1;-0,0047;0,0002;0,0109;-0,0075;-0,0065;-0,0109;0,0061;0,0060;0,0178;-0,0126;0,0089;1,0000
0;-0,0030;-0,0071;-0,0135;0,0047;-0,0034;-0,0052;0,0080;0,0083;-0,0017;-0,0684;-0,0067;1,0000
0;0,0031;0,0022;-0,0107;-0,0021;0,0083;-0,0003;-0,0065;0,0181;0,0050;-0,0005;-0,0244;1,0000
1;-0,0105;-0,0102;-0,0035;-0,0143;-0,0185;-0,0042;-0,0173;-0,0084;-0,0087;0,0381;0,0176;1,0000
0;0,0053;0,0033;-0,0004;-0,0049;-0,0120;0,0018;-0,0406;0,0123;-0,0070;-0,0139;-0,0620;1,0000
0;-0,0016;-0,0026;0,0018;-0,0100;-0,0001;0,0030;0,0024;0,0195;-0,0096;0,0136;-0,0107;1,0000
1;-0,0200;-0,0206;-0,0153;-0,0108;-0,0217;-0,0053;-0,0187;-0,0290;0,0201;-0,0019;0,1300;1,0000
0;-0,0028;0,0039;0,0004;0,0024;-0,0041;0,0152;-0,0196;-0,0024;-0,0022;-0,0037;-0,0242;1,0000
1;-0,0138;-0,0126;-0,0030;0,0004;-0,0134;-0,0062;0,0007;-0,0274;0,0039;-0,0019;0,0883;1,0000
0;0,0028;0,0011;0,0150;0,0064;0,0094;0,0000;-0,0055;-0,0013;-0,0148;0,0033;-0,0417;1,0000
0;-0,0003;-0,0046;-0,0018;-0,0128;-0,0050;-0,0167;-0,0213;-0,0059;0,0007;-0,0088;-0,0534;1,0000
1;0,0114;0,0111;0,0157;0,0092;0,0134;0,0164;-0,0076;-0,0135;0,0055;0,0175;-0,0281;1,0000
1;0,0022;0,0050;-0,0067;0,0011;0,0098;0,0000;0,0076;0,0053;0,0046;-0,0176;-0,0154;1,0000
1;-0,0088;-0,0073;-0,0027;-0,0020;-0,0024;-0,0017;0,0380;0,0213;-0,0073;0,0061;0,0719;1,0000
0;-0,0111;-0,0061;-0,0092;0,0161;-0,0050;-0,0058;-0,0098;-0,0052;0,0011;0,0118;0,0535;1,0000
0;0,0129;0,0078;0,0107;0,0022;0,0172;-0,0017;0,0200;0,0172;0,0139;0,0173;-0,0337;1,0000
0;-0,0061;-0,0010;0,0094;0,0161;0,0069;0,0057;-0,0007;0,0409;-0,0052;0,0087;0,0189;1,0000
1;-0,0104;-0,0038;-0,0040;-0,0094;-0,0444;-0,0075;-0,0086;0,0098;-0,0220;-0,0273;-0,0243;1,0000
1;0,0147;-0,0011;0,0027;-0,0062;-0,0076;-0,0171;-0,0056;-0,0328;-0,0013;-0,0194;0,0459;1,0000
0;0,0105;0,0002;0,0004;-0,0115;0,0078;0,0002;0,0016;-0,0069;-0,0181;0,0136;-0,0687;1,0000
0;0,0146;0,0109;0,0220;0,0114;0,0068;0,0112;-0,0020;-0,0312;0,0118;-0,0179;-0,0252;1,0000
0;-0,0130;-0,0077;0,0154;0,0071;-0,0057;0,0025;0,0116;0,0125;-0,0062;0,0259;0,0845;1,0000
0;0,0025;0,0008;-0,0156;-0,0071;0,0024;-0,0053;0,0033;-0,0223;-0,0064;0,0119;-0,0077;1,0000
0;0,0110;0,0061;-0,0104;-0,0012;0,0166;-0,0020;-0,0033;-0,0164;0,0091;0,0135;-0,0105;1,0000
1;-0,0002;0,0003;-0,0014;0,0054;0,0032;0,0063;0,0152;0,0107;-0,0020;0,0283;0,0006;1,0000
1;-0,0007;0,0031;-0,0116;0,0145;0,0040;0,0053;0,0092;0,0002;-0,0021;0,0116;-0,0256;1,0000
1;0,0119;0,0076;-0,0058;0,0003;0,0111;0,0025;0,0201;-0,0183;0,0068;0,0091;0,0069;1,0000
1;0,0189;0,0100;0,0140;0,0046;0,0075;0,0060;-0,0290;0,0038;-0,0005;-0,0010;-0,0391;1,0000
1;-0,0076;-0,0076;-0,0129;-0,0207;-0,0070;-0,0015;0,0095;0,0122;0,0013;0,0020;0,0095;1,0000
0;-0,0156;-0,0181;-0,0158;-0,0124;-0,0164;-0,0303;-0,0108;0,0107;-0,0046;-0,0071;0,0890;1,0000
0;-0,0020;-0,0114;-0,0113;0,0008;-0,0045;0,0041;-0,0123;-0,0087;0,0039;-0,0159;0,0463;1,0000
1;0,0040;0,0033;0,0597;0,0103;0,0130;0,0036;0,0108;0,0040;0,0056;0,0208;-0,0247;1,0000
1;0,0034;0,0064;-0,0136;-0,0062;-0,0042;-0,0129;0,0013;0,0188;0,0080;0,0071;-0,1292;1,0000
0;0,0128;0,0080;-0,0182;0,0022;0,0028;-0,0019;0,0037;0,0127;0,0060;-0,0031;0,0311;1,0000
0;0,0070;0,0056;0,0076;-0,0028;0,0120;-0,0077;0,0123;0,0305;-0,0099;0,0005;-0,0683;1,0000
1;-0,0008;-0,0034;-0,0198;-0,0041;-0,0183;-0,0125;-0,0142;0,0066;0,0088;0,0245;0,0557;1,0000
0;0,0228;0,0213;0,0035;0,0203;0,0216;0,0193;-0,0027;0,0117;0,0081;0,0111;-0,0658;1,0000
1;-0,0116;-0,0102;-0,0057;-0,0076;-0,0003;-0,0114;-0,0044;0,0014;-0,0064;-0,0196;0,0203;1,0000
0;0,0075;0,0040;0,0373;0,0135;0,0360;-0,0005;0,0017;0,0114;-0,0105;-0,0102;-0,0457;1,0000
1;-0,0040;-0,0003;-0,0278;-0,0087;0,0164;-0,0104;-0,0387;-0,0532;-0,0176;-0,0081;0,0387;1,0000
1;-0,0025;-0,0022;-0,0066;-0,0147;-0,0057;-0,0053;-0,0208;-0,0415;0,0023;-0,0170;-0,0122;1,0000
0;0,0175;0,0105;0,0044;0,0053;0,0119;0,0060;0,0233;0,0237;0,0030;-0,0123;-0,0282;1,0000
1;-0,0120;-0,0110;-0,0079;-0,0045;-0,0060;-0,0100;-0,0146;-0,0071;-0,0067;0,0064;0,0396;1,0000
0;-0,0040;0,0011;-0,0117;0,0078;0,0095;0,0061;0,0142;-0,0072;0,0079;-0,0079;0,0635;1,0000
0;0,0059;0,0053;0,0065;0,0006;0,0052;0,0076;-0,0019;-0,0004;0,0178;-0,0315;-0,0430;1,0000
1;-0,0145;-0,0105;0,0044;0,0003;-0,0092;-0,0072;0,0180;0,0267;-0,0151;0,0043;0,0773;1,0000
0;0,0149;0,0160;-0,0031;0,0015;0,0068;0,0161;-0,0072;-0,0102;0,0061;0,0067;-0,0401;1,0000
1;0,0010;0,0028;0,0066;0,0016;-0,0031;-0,0008;0,0230;0,0289;0,0197;0,0083;-0,0405;1,0000
1;-0,0090;-0,0049;-0,0130;-0,0077;-0,0054;0,0014;0,0027;0,0120;0,0004;0,0218;0,0234;1,0000
0;-0,0111;-0,0085;-0,0060;-0,0083;-0,0116;-0,0057;-0,0066;0,0121;-0,0078;0,0025;0,0091;1,0000
0;-0,0249;-0,0225;-0,0102;-0,0059;-0,0215;-0,0138;-0,0050;-0,0239;-0,0190;0,0055;0,1149;1,0000
0;-0,0061;-0,0042;0,0034;0,0082;0,0008;0,0000;0,0398;-0,0151;0,0103;-0,0153;-0,1021;1,0000
1;0,0073;0,0030;0,0026;0,0039;-0,0057;0,0003;-0,0007;0,0251;0,0197;0,0268;-0,1134;1,0000
0;0,0143;0,0158;0,0100;0,0151;0,0089;0,0131;-0,0058;0,0303;-0,0002;0,0196;0,0053;1,0000
1;-0,0073;-0,0090;-0,0073;-0,0165;-0,0188;-0,0105;0,0284;0,0303;0,0018;-0,0112;0,0260;1,0000
0;0,0075;0,0055;0,0153;0,0123;0,0184;0,0042;-0,0159;-0,0062;0,0024;-0,0041;-0,0282;1,0000
1;-0,0019;0,0000;-0,0104;-0,0180;-0,0021;0,0016;-0,0038;-0,0076;-0,0050;0,0103;0,0255;1,0000
0;-0,0144;-0,0103;0,0026;-0,0022;-0,0142;-0,0005;0,0305;-0,0302;-0,0046;0,0046;0,0282;1,0000
1;-0,0179;-0,0140;0,0043;0,0095;-0,0143;-0,0137;-0,0140;-0,0348;-0,0130;-0,0082;0,0620;1,0000
0;-0,0012;0,0010;0,0141;0,0038;0,0163;0,0088;-0,0295;-0,0381;-0,0038;0,0036;-0,0636;1,0000
0;-0,0009;-0,0056;0,0058;0,0041;0,0114;0,0028;-0,0283;-0,0153;-0,0018;-0,0071;0,0374;1,0000
1;0,0309;0,0218;0,0117;0,0208;0,0359;0,0181;-0,0165;0,0083;0,0249;-0,0005;-0,0700;1,0000
1;-0,0016;0,0001;0,0054;-0,0032;0,0000;-0,0035;0,0181;0,0301;0,0140;0,0051;-0,0368;1,0000
0;-0,0154;-0,0145;-0,0107;-0,0006;-0,0090;0,0002;0,0013;0,0124;-0,0048;0,0077;0,0555;1,0000
0;-0,0003;0,0045;0,0228;0,0048;0,0004;0,0010;-0,0242;0,0126;-0,0105;0,0026;0,0495;1,0000
1;0,0059;0,0028;0,0162;0,0079;0,0111;0,0045;-0,0227;-0,0213;-0,0055;-0,0113;-0,0162;1,0000
0;0,0136;0,0118;0,0089;0,0074;0,0011;0,0043;0,0025;-0,0372;0,0076;-0,0096;-0,0432;1,0000
1;-0,0039;-0,0013;0,0220;-0,0047;0,0038;0,0154;-0,0097;0,0153;-0,0091;-0,0060;-0,0143;1,0000
1;0,0048;0,0059;0,0116;0,0150;0,0101;0,0071;-0,0050;-0,0044;-0,0022;-0,0095;-0,0252;1,0000
1;-0,0031;-0,0002;-0,0019;-0,0096;-0,0010;0,0031;-0,0043;-0,0191;-0,0206;0,0162;-0,0051;1,0000
1;-0,0083;-0,0012;-0,0038;0,0053;-0,0078;-0,0018;-0,0131;-0,0462;-0,0113;-0,0266;-0,0288;1,0000
1;0,0087;0,0017;0,0146;0,0058;0,0042;-0,0016;-0,0130;-0,0153;0,0075;-0,0010;0,0151;1,0000
0;-0,0089;-0,0063;-0,0266;-0,0059;0,0004;-0,0096;0,0119;0,0122;-0,0106;0,0232;0,0097;1,0000
1;0,0092;0,0010;-0,0150;-0,0064;0,0116;0,0072;0,0058;-0,0347;0,0192;0,0097;-0,0487;1,0000
0;0,0554;0,0370;0,0166;0,0170;0,0505;0,0359;0,0128;0,0288;0,0089;0,0118;-0,0804;1,0000
0;-0,0208;-0,0195;0,0304;-0,0027;-0,0121;-0,0139;-0,0037;0,0075;-0,0157;0,0015;-0,0040;1,0000
0;0,0056;0,0102;-0,0092;-0,0011;0,0254;0,0018;-0,0257;-0,0346;-0,0007;0,0200;0,0702;1,0000
1;0,0096;0,0131;0,0083;0,0060;-0,0153;0,0039;-0,0213;-0,0314;-0,0080;0,0171;0,0078;1,0000
1;0,0136;0,0126;0,0039;0,0191;0,0848;0,0082;-0,0024;-0,0089;0,0312;-0,0016;-0,0258;1,0000
1;-0,0106;-0,0046;-0,0073;0,0181;0,0012;-0,0005;0,0086;0,0504;0,0004;0,0130;-0,0283;1,0000
1;-0,0250;-0,0155;-0,0154;-0,0066;-0,0289;-0,0139;-0,0065;-0,0203;0,0129;0,0000;0,0029;1,0000
0;-0,0041;-0,0024;0,0019;-0,0008;0,0059;-0,0035;-0,0626;0,0184;0,0158;0,0022;0,0210;1,0000
1;-0,0075;-0,0039;-0,0091;0,0031;-0,0059;-0,0150;0,0230;0,0213;-0,0098;0,0256;0,0132;1,0000
0;0,0246;0,0259;0,0190;0,0349;0,0213;0,0207;0,0639;-0,0156;-0,0085;0,0222;-0,0502;1,0000
1;-0,0061;0,0061;0,0113;0,0146;-0,0071;0,0024;-0,0110;-0,0132;-0,0031;-0,0073;-0,0088;1,0000
1;-0,0074;0,0001;-0,0020;0,0093;0,0080;0,0075;-0,0024;0,0133;0,0108;-0,0084;-0,0307;1,0000
1;0,0163;0,0107;0,0159;0,0227;0,0173;0,0240;0,0069;0,0304;-0,0002;-0,0138;-0,0502;1,0000
1;0,0119;0,0134;-0,0064;-0,0204;-0,0547;0,0288;-0,0048;0,0087;-0,0019;-0,0011;0,0312;1,0000
1;0,0237;0,0247;0,0171;0,0125;0,0210;0,0160;-0,0141;-0,0055;0,0116;-0,0136;-0,0172;1,0000
1;-0,0080;-0,0030;-0,0119;-0,0072;-0,0083;-0,0157;0,0018;-0,0108;0,0000;-0,0005;-0,0191;1,0000
0;-0,0067;-0,0033;-0,0074;-0,0092;-0,0162;-0,0085;0,0095;0,0050;-0,0041;-0,0139;0,0041;1,0000
1;0,0114;0,0112;0,0145;0,0136;0,0007;0,0135;-0,0097;0,0330;-0,0024;-0,0011;-0,0145;1,0000
1;0,0265;0,0186;0,0257;0,0301;0,0293;0,0129;-0,0134;-0,0309;0,0034;-0,0053;-0,0164;1,0000
1;-0,0237;-0,0134;-0,0142;-0,0265;-0,0336;-0,0159;0,0015;-0,0018;-0,0156;-0,0037;-0,0113;1,0000
0;0,0260;0,0283;0,0260;0,0392;0,0288;0,0132;-0,0364;-0,0393;0,0097;0,0016;-0,0374;1,0000
1;-0,0033;-0,0010;-0,0062;0,0028;0,0077;0,0121;0,0113;0,0211;-0,0044;0,0070;-0,0852;1,0000
1;-0,0065;0,0012;0,0010;-0,0236;-0,0098;0,0017;-0,0208;-0,0233;-0,0140;-0,0032;0,1202;1,0000
1;-0,0075;-0,0032;0,0126;-0,0105;0,0003;-0,0022;-0,0394;-0,0195;-0,0060;0,0070;0,0302;1,0000
1;-0,0280;-0,0211;-0,0225;-0,0108;-0,0260;-0,0094;0,0656;-0,0163;0,0053;-0,0037;0,0334;1,0000
0;-0,0102;-0,0115;-0,0010;-0,0197;-0,0085;-0,0215;0,0014;0,0474;0,0099;0,0119;0,0425;1,0000
0;-0,0020;-0,0014;0,0046;0,0083;0,0182;-0,0095;-0,0255;0,0079;0,0132;0,0284;-0,0130;1,0000
1;0,0306;0,0280;0,0274;0,0211;0,0338;0,0023;-0,0011;0,0143;0,0252;0,0022;0,0089;1,0000
1;0,0259;0,0266;0,0139;0,0260;0,0161;0,0112;-0,0099;0,0346;0,0191;0,0281;-0,0167;1,0000
1;-0,0151;-0,0171;-0,0037;-0,0081;-0,0267;-0,0097;-0,0103;0,0521;-0,0104;-0,0543;-0,0305;1,0000
0;-0,0211;-0,0154;-0,0280;-0,0084;-0,0062;-0,0072;0,0282;-0,0214;-0,0063;-0,0011;0,0413;1,0000
0;0,0197;0,0188;0,0271;0,0032;0,0336;0,0106;-0,0077;-0,0112;0,0205;0,0082;-0,0597;1,0000
1;-0,0021;-0,0043;-0,0079;-0,0127;-0,0062;-0,0257;0,0364;0,0465;0,0067;0,0055;0,0235;1,0000
0;-0,0103;-0,0111;-0,0068;-0,0135;0,0076;-0,0125;0,0157;0,0233;-0,0225;-0,0087;0,0676;1,0000
0;-0,0172;-0,0162;-0,0037;-0,0013;-0,0063;-0,0111;-0,0256;-0,0258;-0,0326;0,0038;0,0806;1,0000
0;-0,0084;-0,0035;-0,0195;-0,0158;-0,0440;-0,0024;-0,0332;-0,0569;0,0030;-0,0114;-0,0260;1,0000
0;-0,0171;-0,0170;-0,0206;-0,0233;-0,0241;-0,0083;0,0077;0,0066;-0,0076;0,0148;0,0246;1,0000
0;-0,0113;-0,0101;-0,0045;-0,0078;-0,0147;-0,0015;0,0112;-0,0179;0,0009;0,0016;0,0424;1,0000
0;0,0069;0,0064;0,0081;0,0038;0,0091;0,0076;0,0762;-0,0149;0,0086;0,0283;-0,0057;1,0000
1;-0,0072;-0,0045;0,0030;0,0049;-0,0099;0,0002;-0,0340;0,0073;-0,0022;-0,0106;-0,0156;1,0000
1;-0,0113;-0,0056;-0,0144;0,0030;-0,0052;-0,0207;0,0175;0,0001;-0,0152;-0,0165;0,0253;1,0000
0;0,0034;0,0010;0,0045;0,0109;0,0553;0,0053;-0,0102;-0,0382;-0,0077;-0,0049;-0,0200;1,0000
1;-0,0432;-0,0394;-0,0333;-0,0314;-0,0138;-0,0325;0,0131;0,0134;-0,0054;-0,0060;0,1446;1,0000
0;0,0106;0,0071;0,0078;0,0101;0,0043;0,0029;0,0018;-0,0054;0,0155;0,0016;0,0000;1,0000
1;0,0153;0,0119;0,0405;-0,0023;-0,0086;0,0032;-0,0141;0,0114;0,0224;0,0071;-0,0252;1,0000
0;0,0066;0,0061;0,0186;0,0090;0,0130;-0,0030;0,0527;0,0389;0,0049;0,0162;-0,0528;1,0000
1;0,0183;0,0140;0,0189;0,0245;0,0448;0,0185;-0,0194;0,0195;-0,0169;-0,0066;-0,0759;1,0000
1;-0,0041;-0,0055;-0,0160;-0,0016;0,0190;0,0005;0,0331;-0,0569;-0,0002;0,0039;0,0531;1,0000
0;-0,0107;-0,0107;-0,0041;-0,0133;-0,0288;-0,0137;0,0088;0,0001;0,0006;-0,0094;0,0067;1,0000
0;0,0030;0,0046;0,0115;0,0271;0,0158;0,0047;0,0226;0,0030;-0,0270;0,0089;-0,0339;1,0000
1;-0,0078;-0,0088;-0,0113;0,0042;0,0079;-0,0071;-0,0414;-0,0328;-0,0136;0,0056;-0,0060;1,0000
0;-0,0110;-0,0096;-0,0036;-0,0127;-0,0084;-0,0092;0,0135;-0,0228;-0,0220;-0,0116;-0,0115;1,0000
0;-0,0067;-0,0057;0,0041;0,0004;0,0007;-0,0060;-0,0265;-0,0554;0,0026;-0,0184;0,0479;1,0000
0;-0,0337;-0,0303;-0,0401;-0,0399;-0,0381;-0,0241;0,0449;0,0424;0,0063;-0,0016;0,1875;1,0000
0;0,0141;0,0098;-0,0015;0,0187;0,0156;0,0048;0,0195;0,0058;-0,0080;0,0318;-0,0538;1,0000
1;0,0029;0,0018;0,0065;-0,0003;0,0161;0,0014;-0,0318;-0,0250;0,0118;-0,0078;-0,0340;1,0000
1;-0,0022;-0,0047;0,0085;-0,0003;-0,0031;0,0011;0,0156;0,0123;0,0098;0,0084;0,0208;1,0000
0;-0,0214;-0,0191;-0,0577;-0,0164;-0,0227;-0,0149;0,0159;0,0389;0,0105;-0,0028;0,1571;1,0000
0;-0,0129;-0,0086;-0,0084;-0,0110;-0,0184;-0,0008;0,0229;-0,0059;0,0034;-0,0083;-0,1161;1,0000
0;0,0023;0,0006;-0,0070;-0,0097;0,0023;0,0052;0,0297;0,0030;0,0031;0,0180;0,1431;1,0000
0;-0,0072;-0,0050;0,0089;0,0006;-0,0117;-0,0023;-0,0416;0,0271;0,0005;-0,0258;0,0342;1,0000
1;0,0019;0,0071;0,0061;0,0068;0,0027;0,0082;-0,0289;0,0183;-0,0079;-0,0016;-0,0077;1,0000
1;0,0040;0,0045;-0,0112;0,0007;0,0096;0,0126;-0,0184;-0,0322;-0,0103;-0,0146;0,0182;1,0000
1;0,0173;0,0127;0,0052;0,0038;0,0119;0,0076;-0,0065;-0,0291;0,0032;-0,0032;-0,0265;1,0000
1;-0,0007;0,0008;0,0265;-0,0123;0,0090;-0,0068;-0,0059;-0,0238;0,0218;0,0059;0,0272;1,0000
0;0,0213;0,0163;-0,0175;0,0192;0,0194;0,0095;0,0138;0,0262;0,0167;0,0115;-0,1027;1,0000
