MCD;S&P;DJ;Wendy;YUM;Starbuck;Coca;Wheat;Oil;Commodity;sugar;Volatilty;War
0;0,0123;0,0105;-0,0036;0,0141;0,0056;-0,0055;0,0132;-0,0090;-0,0028;0,0230;-0,0331;1,0000
1;0,0088;0,0054;0,0089;0,0107;0,0171;0,0028;0,0052;0,0209;0,0087;0,0309;-0,0289;1,0000
1;-0,0056;-0,0025;0,0032;-0,0056;-0,0100;0,0000;0,0009;0,0022;-0,0035;-0,0075;0,0228;1,0000
1;-0,0037;-0,0062;-0,0226;0,0053;0,0078;-0,0066;-0,0235;-0,0039;-0,0032;0,0421;-0,3787;1,0000
0;0,0008;-0,0031;0,0015;0,0010;-0,0103;0,0097;-0,0128;0,0092;0,0035;-0,0069;0,7498;1,0000
0;-0,0007;0,0004;-0,0041;-0,0015;-0,0060;-0,0065;-0,0115;0,0091;0,0096;0,0163;-0,0538;1,0000
1;0,0057;0,0045;-0,0076;0,0076;0,0044;0,0033;0,0012;-0,0120;-0,0100;-0,0134;-0,0221;1,0000
1;-0,0015;-0,0042;0,0072;-0,0033;-0,0117;-0,0018;0,0231;0,0208;0,0071;-0,0018;0,0000;1,0000
0;0,0141;0,0058;0,0284;0,0023;0,0129;0,0074;-0,0321;-0,0412;-0,0048;0,0298;0,0026;1,0000
1;0,0018;0,0007;0,0048;-0,0027;-0,0060;-0,0015;0,0041;0,0224;-0,0026;0,0014;-0,2033;1,0000
0;-0,0034;0,0003;-0,0100;-0,0032;0,0034;-0,0033;0,0221;-0,0070;-0,0012;0,0110;0,2813;1,0000
0;-0,0080;-0,0076;-0,0134;0,0005;-0,0047;0,0023;-0,0107;0,0330;0,0092;-0,0024;-0,0542;1,0000
0;-0,0057;0,0007;-0,0067;-0,0125;-0,0244;0,0151;-0,0338;-0,0177;0,0021;0,0155;0,0401;1,0000
1;-0,0028;-0,0005;-0,0026;0,0011;0,0008;0,0031;-0,0055;-0,0017;-0,0123;-0,0542;-0,3587;1,0000
1;0,0004;0,0014;-0,0020;-0,0024;0,0067;0,0007;0,0136;-0,0316;-0,0068;0,0563;0,7457;1,0000
1;0,0014;0,0030;-0,0151;0,0045;-0,0040;0,0026;-0,0208;-0,0193;0,0023;0,0034;-0,1217;1,0000
1;0,0042;0,0043;0,0040;0,0020;0,0041;0,0041;0,0325;0,0273;0,0039;-0,0044;-0,0025;1,0000
1;0,0017;-0,0005;0,0030;0,0002;-0,0005;0,0057;0,0061;-0,0045;-0,0042;0,0188;-0,0157;1,0000
1;0,0103;0,0087;-0,0060;0,0073;0,0065;0,0066;0,0041;-0,0044;-0,0021;-0,0325;-0,0090;1,0000
1;-0,0147;-0,0127;-0,0144;-0,0092;-0,0308;-0,0207;-0,0205;0,0106;-0,0105;-0,0238;0,0616;1,0000
0;0,0059;0,0068;0,0030;-0,0018;0,0120;-0,0032;0,0093;0,0134;0,0106;0,0056;0,0168;1,0000
1;0,0045;0,0000;0,0075;0,0142;-0,0020;0,0072;-0,0195;0,0146;0,0079;-0,0309;0,0688;1,0000
1;-0,0001;0,0015;-0,0245;-0,0188;-0,0111;-0,0075;0,0593;-0,0021;0,0028;-0,0086;-0,2164;1,0000
0;0,0026;0,0043;0,0241;0,0014;-0,0028;-0,0149;0,0150;0,0304;0,0152;0,0096;0,0000;1,0000
0;0,0137;0,0140;0,0315;0,0223;-0,0004;0,0086;-0,0358;0,0125;0,0092;-0,0274;0,0000;1,0000
1;0,0046;0,0048;-0,0067;0,0114;0,0003;0,0064;0,0266;-0,0380;-0,0119;0,0053;0,0000;1,0000
1;0,0039;0,0043;0,0178;0,0184;0,0156;0,0073;-0,0386;0,0013;0,0043;-0,0381;0,0000;1,0000
1;0,0041;0,0036;-0,0005;0,0006;0,0018;-0,0022;-0,0176;0,0273;0,0043;0,0143;0,2810;1,0000
0;0,0080;0,0017;-0,0073;-0,0043;-0,0060;0,0024;0,0166;-0,0006;0,0042;0,0013;0,0000;1,0000
0;-0,0039;-0,0019;-0,0026;0,0035;0,0155;-0,0010;-0,0081;-0,0407;-0,0229;-0,0785;-0,2396;1,0000
1;-0,0006;-0,0022;-0,0257;-0,0101;-0,0211;0,0015;0,0420;-0,0099;-0,0105;-0,0329;0,0701;1,0000
1;-0,0054;-0,0011;0,0154;-0,0132;-0,0161;-0,0012;0,0325;-0,0139;-0,0090;0,0287;0,0934;1,0000
1;0,0059;0,0082;0,0421;0,0142;-0,0010;0,0034;0,0118;-0,0249;-0,0103;-0,0365;-0,2205;1,0000
1;0,0038;0,0147;-0,0021;0,0002;-0,0055;0,0036;0,0256;-0,0244;-0,0083;-0,0305;0,4584;1,0000
